Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Content Studio_1,Chrome 88.0.4324.150,,,2021-02-11 18:12:51,2021-02-11 18:15:05,2m - 13.405s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Login Page/294264- Login In Content Studio,Chrome 88.0.4324.150,,,2021-02-11 18:12:53,2021-02-11 18:13:40,47.630s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:12:53,2021-02-11 18:12:59,6.368s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:12:59,2021-02-11 18:13:39,39.915s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:13:39,2021-02-11 18:13:40,1.216s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Publisher/294266 - Create a new Catalog,Chrome 88.0.4324.150,,,2021-02-11 18:13:40,2021-02-11 18:15:05,1m - 24.318s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:13:40,2021-02-11 18:13:46,5.924s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:13:46,2021-02-11 18:14:01,14.585s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:14:01,2021-02-11 18:14:06,5.008s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:14:06,2021-02-11 18:14:16,9.853s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Publisher""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:14:16,2021-02-11 18:14:24,7.932s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Catalog_Creation""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:14:24,2021-02-11 18:14:54,30.464s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:14:54,2021-02-11 18:14:56,2.015s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Show Filter""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:14:56,2021-02-11 18:14:58,1.453s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:14:58,2021-02-11 18:15:00,2.017s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Search_Catalog""), [""catalogSearch"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:15:00,2021-02-11 18:15:00,0.696s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 18:15:00,2021-02-11 18:15:03,3.008s,PASSED
"genericFunctions.Utilities.waitForObjectToBeClickableAndClick(findTestObject(""Object Repository/1_Actions_AppSpecific/2_Content Studio/3_Publisher/button_edit_single_catalog""))",Chrome 88.0.4324.150,,,2021-02-11 18:15:03,2021-02-11 18:15:04,0.318s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:15:04,2021-02-11 18:15:05,0.947s,PASSED
